,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
41,17442,19270,19178,19099,19230,19215,19016,19223,19479,19313,19290,18925,19322,19065,19287,19260,19034,19179,18951,19343,19480,19141,19325,18944,19163,19234,19294,19272,19408,19304,19180,19299,19215,19304,19378,18916,19258,19271,19143,19044,19138,19172,19402,19213,19473,19252,19159,19327,19722,19488,19911,20049
42,16973,19299,19354,19070,19279,19226,19388,19203,19164,19248,19428,19467,19136,19455,19209,19230,19205,19018,19404,19045,19343,19363,19053,19241,19462,19273,19106,19183,19100,19185,19250,19339,19493,19068,19204,19046,19226,19337,19085,19179,19222,19143,19119,19231,19196,19229,18904,19371,19657,19471,19828,20292
43,16681,19448,19300,19168,19240,19331,19440,19269,19251,19431,19143,19416,19215,19225,19253,19108,19074,19231,19273,19014,19261,19006,19176,19091,19131,19250,19139,19422,19397,19521,19160,19158,19451,19169,19330,19320,19146,19454,19220,19168,19265,19386,18732,19351,19117,19129,19183,19113,19420,19729,20006,20088
44,16544,19272,19103,19087,19330,19134,19096,19030,19038,19212,19269,19408,19315,19276,19277,19118,19129,19174,19007,19404,19271,19263,19296,19160,19405,19050,19210,19462,19089,19156,19314,19108,19194,19291,19230,19166,19333,19346,19569,19135,19340,19177,19065,19417,19285,19097,19297,19429,19550,19797,19924,20351
45,16388,19359,19509,19424,19289,19216,19396,19288,19161,19287,19204,19368,19320,19111,19436,19276,19153,19252,19143,19372,19031,19338,19203,19020,19442,19345,19325,19042,19221,18942,19219,19207,19012,18998,19306,19412,19221,19244,19231,19325,19169,19188,19223,19295,19171,19068,19146,19205,19431,19677,19779,20612
46,16130,19335,19141,19278,19363,19448,19089,19146,19118,19248,19087,19140,19306,19211,19260,19057,19376,19397,19217,19002,19128,19323,19174,19532,19358,19226,19312,19513,19544,19168,19154,19284,19024,19151,18920,19400,19174,19242,19236,19323,19084,19366,19215,19363,19156,19317,19272,19371,19241,19577,19957,20546
47,16002,19085,19160,19555,19071,19050,19153,19157,19357,19223,19213,19325,19235,19223,19492,19377,19239,19251,19211,19260,19052,19022,19112,19288,19082,19262,19442,19233,19256,19113,19360,19225,19322,19252,19072,19105,19080,19188,19373,19351,19323,19274,19353,19391,19248,19307,18983,19407,19405,19721,19925,20834
48,15827,19118,19339,19123,18970,19578,19425,19325,19149,19320,18840,19292,19174,19295,19445,19180,19019,19272,19266,19220,19368,19132,18971,19340,19369,19353,19411,19279,19394,19316,19260,19125,19066,19144,19327,19444,19201,19156,19070,19138,19246,19244,19116,19208,19344,19249,19226,18967,19878,19687,20250,20544
49,15750,19012,19228,19152,19153,19107,19020,19395,19417,19083,19184,19143,19283,19119,19320,19514,19157,19439,19123,18913,19419,19457,19257,19216,19238,19298,19290,19469,19335,19296,19319,18910,18900,19201,19185,19221,19274,19257,19422,19283,19262,19292,19263,19067,19271,19261,19124,19207,18642,20745,20163,20944
50,15667,18757,19312,19357,19264,18986,19129,19275,19070,19200,19222,19223,19110,19202,19259,19187,19362,19273,19444,19282,19159,19192,19365,18782,19432,19225,19341,19451,19358,19581,19230,19260,18970,19254,19331,19451,19150,19042,19079,19296,19272,19073,19236,19149,19157,19265,19063,19128,18788,18825,22525,20989
51,15028,18510,19076,19029,19254,19103,19254,19162,19045,19382,19002,19189,19295,19130,19223,19280,19175,19110,19336,19209,19436,19187,19137,19227,18982,19100,19449,19485,19450,19567,19409,19409,19108,19095,19274,19124,19092,19010,19442,19291,19274,19192,19467,19146,19157,19297,19236,19202,19009,18968,18306,25680
